source_id,solution_id,teff1,teff2,logg1,logg2,azero,mh,distancepc,log_pos,log_lik
4111834567779557376,8013174454512009251,3813.1934,7169.609,2.9643211,4.315978,0.9589878,0.4796459,185.66475,-20710.633,-20707.186
4111834567779557376,8013174454512009251,3933.4297,7257.6494,2.9961102,4.214636,0.78896385,0.11670131,201.73608,-18620.018,-18620.006
4111834567779557376,8013174454512009251,3804.2065,7222.307,3.0768957,3.9142823,1.1178491,0.44139865,177.51971,-20433.475,-20430.281
4111834567779557376,8013174454512009251,3904.7954,7004.2817,3.0438783,4.114033,0.9291469,0.49029875,181.05006,-21112.54,-21109.87
4111834567779557376,8013174454512009251,3790.5166,7448.82,3.032687,3.8695047,0.9330065,0.48371592,192.5889,-18576.576,-18572.38
4111834567779557376,8013174454512009251,3836.8438,7216.473,2.9943917,4.048121,0.9312297,0.44873348,183.02032,-19203.541,-19201.242
4111834567779557376,8013174454512009251,3815.0002,7048.905,3.1514847,3.8671687,0.9187366,0.49249378,181.71402,-19439.387,-19435.979
4111834567779557376,8013174454512009251,3866.2617,7259.279,3.031362,4.018458,0.9123225,0.08136666,204.75374,-16503.291,-16501.98
4111834567779557376,8013174454512009251,3852.6592,7221.9663,3.0864613,3.886609,1.0222316,0.41961813,174.41011,-20280.652,-20278.16
4111834567779557376,8013174454512009251,3866.665,7476.6216,3.0881205,3.9351945,0.8795488,0.09385215,218.4594,-14833.689,-14832.155
4111834567779557376,8013174454512009251,3933.9155,7874.549,2.9663224,3.6081483,1.3444699,0.14350028,179.80164,-18081.104,-18078.092
4111834567779557376,8013174454512009251,3883.9485,7185.5317,3.0965102,3.9652762,0.90770686,0.069505125,216.1553,-16187.488,-16186.288
4111834567779557376,8013174454512009251,3682.189,7689.796,3.2341094,3.6642377,1.296224,0.19928828,176.45027,-20024.312,-20022.262
4111834567779557376,8013174454512009251,3808.2373,7201.98,3.1406672,3.8684835,1.089961,0.3599749,185.01904,-20732.92,-20730.95
4111834567779557376,8013174454512009251,3901.9175,7514.7793,3.0607367,4.0299788,0.8244986,0.07851694,225.33876,-13998.35,-13997.752
4111834567779557376,8013174454512009251,3910.9717,7024.7954,2.9636784,4.110592,0.85302764,0.49845147,181.38861,-18733.842,-18730.86
4111834567779557376,8013174454512009251,3865.7756,7219.1597,3.0056968,4.0777097,1.2017477,0.2555886,172.89378,-22735.97,-22735.229
4111834567779557376,8013174454512009251,3839.1257,7779.7427,2.9814825,4.01473,1.1156753,0.49870595,182.2069,-19801.506,-19795.443
4111834567779557376,8013174454512009251,3704.303,7241.5386,3.2518702,3.892772,1.1262474,0.30907327,173.99792,-22744.625,-22743.094
4111834567779557376,8013174454512009251,3869.6357,7637.174,3.1002836,3.7618895,1.0133718,0.11690572,184.4259,-19285.389,-19284.066
4111834567779557376,8013174454512009251,3981.6172,7234.974,3.0333045,3.9947474,0.8708143,-0.48644835,182.7962,-16803.16,-16799.9
4111834567779557376,8013174454512009251,3743.5132,7341.1064,3.3226957,4.2295957,0.37147152,0.4329376,206.14192,-31229.234,-31227.21
4111834567779557376,8013174454512009251,3876.0332,6988.799,3.0962217,4.077888,0.79730695,0.10175392,268.30627,-26226.73,-26226.94
4111834567779557376,8013174454512009251,3856.2056,7242.4053,3.0066302,4.053791,1.0045035,0.4904831,181.35744,-20311.023,-20308.348
4111834567779557376,8013174454512009251,3846.3193,7219.889,2.984212,4.180135,0.9681527,0.49827152,181.1282,-19885.516,-19882.447
4111834567779557376,8013174454512009251,3829.258,7335.7925,3.075914,4.00378,0.9895417,0.44298595,176.13583,-20746.852,-20743.236
4111834567779557376,8013174454512009251,3784.7983,7660.0493,3.1055849,3.5431767,1.3719022,0.4718701,194.19447,-14920.938,-14915.725
4111834567779557376,8013174454512009251,3809.013,7530.134,2.9754462,3.9586897,0.9483781,0.49752694,191.53221,-17945.129,-17940.55
4111834567779557376,8013174454512009251,3795.335,7597.768,3.137733,3.6122272,1.5051448,0.24723382,214.09273,-21620.42,-21618.229
4111834567779557376,8013174454512009251,3862.159,7841.117,3.0654325,3.6458998,1.305484,0.2939887,170.59161,-19533.857,-19529.748
4111834567779557376,8013174454512009251,3798.4219,7694.4873,3.0278397,3.830235,1.375876,0.3554972,182.34918,-21703.418,-21700.312
4111834567779557376,8013174454512009251,3871.5525,7364.8984,3.010034,3.6787398,0.9107222,0.4903963,192.45721,-15041.118,-15036.416
4111834567779557376,8013174454512009251,3886.5144,7608.746,3.0330691,4.0104723,0.83487415,0.08685465,219.5794,-13057.386,-13055.832
4111834567779557376,8013174454512009251,3782.1438,7651.24,3.074067,3.4668155,1.3732946,0.49983445,195.5774,-14163.488,-14158.015
4111834567779557376,8013174454512009251,3708.5762,7220.1387,3.2018187,3.9394603,1.1800227,0.31452727,177.38051,-23926.709,-23924.879
4111834567779557376,8013174454512009251,3882.569,7572.351,3.085524,4.0012045,0.87337947,0.10622689,215.59097,-13006.451,-13004.802
4111834567779557376,8013174454512009251,3838.1016,7475.144,2.991072,3.9871542,1.0612962,0.44119388,191.7782,-20804.367,-20800.627
4111834567779557376,8013174454512009251,3864.2798,7028.1587,3.0910823,4.083334,0.8732219,0.09781072,218.65065,-17257.176,-17257.19
4111834567779557376,8013174454512009251,3895.5608,7920.306,3.0830388,4.004911,0.79785687,0.09680316,226.44965,-11671.559,-11668.544
4111834567779557376,8013174454512009251,3917.5042,7565.819,2.9946222,4.140382,0.8084806,0.123169094,221.09807,-18189.934,-18189.238
4111834567779557376,8013174454512009251,3862.8374,7019.7607,3.0919695,4.0871353,0.8222887,0.100715935,240.52092,-22758.82,-22758.955
