source_id,transit_id,band,time,mag,flux,flux_error,flux_over_error,rejected_by_photometry,rejected_by_variability,other_flags,solution_id
4111834567779557376,17443071633056607,G,1712.2930764736564,7.259099268876547,2.351294561118215E7,27603.606471222643,851.807,false,false,1,375316653866487564
4111834567779557376,19298753982108309,G,1745.8489531655493,6.823035022037963,3.513441590809791E7,19544.31095723144,1797.6799,false,false,8193,375316653866487564
4111834567779557376,26724440341754483,G,1880.140421010991,6.840379557275572,3.457760620350082E7,32837.63956039835,1052.9869,false,false,8193,375316653866487564
4111834567779557376,28437700474441979,G,1911.1269508572295,7.317243189093833,2.228689008369813E7,26630.784785813175,836.88446,false,false,8193,375316653866487564
4111834567779557376,29502288609293845,G,1930.381207573026,7.1695273117578076,2.553499764388001E7,26185.206259751627,975.1689,false,false,8193,375316653866487564
4111834567779557376,29506380911141698,G,1930.4552207659463,7.177980720322882,2.533695725204899E7,35961.00258615895,704.5676,false,false,12289,375316653866487564
4111834567779557376,39087248569963009,G,2103.714441123002,6.807783912531875,3.5631424217651226E7,21597.319241091795,1649.8077,false,false,8193,375316653866487564
4111834567779557376,39096989405439781,G,2103.890583110612,6.846553942507693,3.438152767700659E7,46634.78696621997,737.2507,false,false,12289,375316653866487564
4111834567779557376,39968131156440891,G,2119.64341068873,6.820322423787125,3.522230531383554E7,82281.78197843459,428.0693,false,false,12289,375316653866487564
4111834567779557376,39972223407940574,G,2119.717411337549,6.792949114239377,3.612161015212857E7,35827.82453100656,1008.19995,false,false,12289,375316653866487564
4111834567779557376,49525670254794059,G,2292.4936235537634,7.193514782201337,2.4977032212262355E7,27204.72358719011,918.11383,false,false,12293,375316653866487564
4111834567779557376,50106567363437211,G,2302.9996557148997,6.7982157012662014,3.5946819116908625E7,25745.542629156367,1396.2346,false,false,8193,375316653866487564
4111834567779557376,50116308134151796,G,2303.1757972304176,6.837761059597511,3.466109853751558E7,32468.496603993037,1067.5302,false,false,4202497,375316653866487564
4111834567779557376,50120400440451700,G,2303.249837995026,6.859886726193082,3.3961906058119826E7,27564.678732139673,1232.0806,false,false,8193,375316653866487564
4111834567779557376,55345055387505932,G,2397.735170151497,7.088213280753614,2.7520824099312495E7,14396.601961511105,1911.6194,false,false,8197,375316653866487564
4111834567779557376,55349147696943721,G,2397.8091512124383,7.107048499151144,2.7047513557947412E7,28778.545780243643,939.8499,false,false,12289,375316653866487564
4111834567779557376,55358888487167744,G,2397.985296053579,7.1288665108908305,2.6509414907074094E7,22638.251051556534,1171.001,false,false,1,375316653866487564
4111834567779557376,55362980734870533,G,2398.059297079405,7.156388598351722,2.5845879040444124E7,15166.72851602455,1704.117,false,false,8193,375316653866487564
4111834567779557376,55829165022385043,G,2406.489368710478,7.192177479223123,2.5007815415795054E7,33464.516705915164,747.2935,false,false,12289,375316653866487564
4111834567779557376,55833257280188481,G,2406.5633411155904,7.223559697815883,2.4295333652839594E7,21736.90616111147,1117.6997,false,false,8193,375316653866487564
4111834567779557376,55842998104380641,G,2406.7395340904973,7.245491346811178,2.380949631533945E7,14817.819354114303,1606.8152,false,false,8197,375316653866487564
4111834567779557376,55847090435191049,G,2406.8135148075835,7.256841686693225,2.3561887179601453E7,29401.330487571937,801.3885,false,false,12289,375316653866487564
4111834567779557376,57998229288933280,G,2445.7120680140865,6.883384015662962,3.32348054280936E7,46565.1985941403,713.72626,false,false,7349189,375316653866487564
4111834567779557376,58002321578177986,G,2445.786135089904,6.905068144742799,3.2577630181976836E7,24985.886447192228,1303.8413,false,false,8193,375316653866487564
4111834567779557376,60254134735902635,G,2486.5053225616352,6.913324090749626,3.2330849096534196E7,48086.048771953996,672.35406,false,false,12289,375316653866487564
4111834567779557376,60263875718682398,G,2486.6814490549596,6.961892614094065,3.0916455780520476E7,26824.88262475184,1152.529,false,false,1,375316653866487564
4111834567779557376,60267968058794096,G,2486.755472554454,6.981575693470365,3.03610277972417E7,12231.105623970316,2482.28,false,false,8193,375316653866487564
4111834567779557376,60277708954149211,G,2486.9316186058654,7.02313702005625,2.922078903478483E7,14779.9446269813,1977.0568,false,false,8193,375316653866487564
4111834567779557376,60281801259795240,G,2487.005592293454,7.044083399173413,2.8662455082883336E7,14378.845004551393,1993.3767,false,false,4202497,375316653866487564
4111834567779557376,60291542079522176,G,2487.181737044831,7.082403060224468,2.7668494105604645E7,17888.68339877214,1546.7037,false,false,4202497,375316653866487564
4111834567779557376,60305375111304143,G,2487.4319100947996,7.13593206517449,2.6337461923649855E7,18959.031782183312,1389.1776,false,false,1,375316653866487564
4111834567779557376,60309467361638107,G,2487.505910941248,7.150287775067191,2.5991517530955434E7,19087.730187379635,1361.6871,false,false,8193,375316653866487564
4111834567779557376,60319208065623076,G,2487.6820537227673,7.184189646527763,2.5192478013735093E7,16025.410315373327,1572.0332,false,false,8193,375316653866487564
4111834567779557376,60333040963974781,G,2487.932196384577,7.224023837313563,2.4284949902180653E7,27532.849901374666,882.03546,false,false,12289,375316653866487564
4111834567779557376,60346873822081774,G,2488.1823383925444,7.261888181225853,2.345262580719714E7,20249.421604440056,1158.1875,false,false,8193,375316653866487564
4111834567779557376,60360706657513811,G,2488.4324800708296,7.292689639046248,2.2796642635672636E7,26875.95607445341,848.217,false,false,12289,375316653866487564
4111834567779557376,60374539482984867,G,2488.68262164862,7.320203876298589,2.2226198890603527E7,17179.96718631951,1293.7277,false,false,8193,375316653866487564
4111834567779557376,60388372322874330,G,2488.9327635629456,7.330148719018627,2.2023546680252776E7,20484.668290989768,1075.1234,false,false,8193,375316653866487564
