source_id,solution_id,ra,dec,wavelength,flux,flux_error,combined_transits,combined_ccds,deblended_ccds
4111834567779557376,5950420259779346465,256.5229102004341,-26.580565130784702,846.49,0.9986175,0.0015959495,31,92,0
4111834567779557376,5950420259779346465,256.5229102004341,-26.580565130784702,846.5,0.9989915,0.0015936247,31,92,0
4111834567779557376,5950420259779346465,256.5229102004341,-26.580565130784702,846.51,0.99882835,0.0017533887,31,92,0
4111834567779557376,5950420259779346465,256.5229102004341,-26.580565130784702,846.52,0.9977562,0.0019889513,31,92,0
4111834567779557376,5950420259779346465,256.5229102004341,-26.580565130784702,846.53,0.99644166,0.0019144546,31,92,0
4111834567779557376,5950420259779346465,256.5229102004341,-26.580565130784702,846.54,0.994446,0.0017655517,31,92,0
4111834567779557376,5950420259779346465,256.5229102004341,-26.580565130784702,846.55,0.99251354,0.0016330245,31,92,0
4111834567779557376,5950420259779346465,256.5229102004341,-26.580565130784702,846.56,0.99130535,0.0015809681,31,92,0
4111834567779557376,5950420259779346465,256.5229102004341,-26.580565130784702,846.57,0.99120545,0.0015716072,31,92,0
4111834567779557376,5950420259779346465,256.5229102004341,-26.580565130784702,846.58,0.9906889,0.0015293718,31,92,0
4111834567779557376,5950420259779346465,256.5229102004341,-26.580565130784702,846.59,0.9890394,0.0015414065,31,92,0
4111834567779557376,5950420259779346465,256.5229102004341,-26.580565130784702,846.6,0.9868649,0.0016196977,31,92,0
4111834567779557376,5950420259779346465,256.5229102004341,-26.580565130784702,846.61,0.9857389,0.0015809909,31,92,0
4111834567779557376,5950420259779346465,256.5229102004341,-26.580565130784702,846.62,0.9856868,0.0017630273,31,92,0
4111834567779557376,5950420259779346465,256.5229102004341,-26.580565130784702,846.63,0.9855584,0.0019192628,31,92,0
4111834567779557376,5950420259779346465,256.5229102004341,-26.580565130784702,846.64,0.98565906,0.0021184937,31,92,0
4111834567779557376,5950420259779346465,256.5229102004341,-26.580565130784702,846.65,0.98502994,0.0022368,31,92,0
