solution_id,source_id,teff,azero,logg,mh,ag,mg,distancepc,abp,arp,ebpminrp,log_pos,log_lik,radius
8013174454444875809,4111834567779557376,5831.2524,0.9952049,1.7234974,-0.5715724,0.81340426,-3.8576984,1064.7997,1.0324037,0.5922114,0.44019228,-741.0143,-582.5169,51.191757
8013174454444875809,4111834567779557376,5805.431,0.97843874,1.7091334,-0.5993128,0.7991438,-3.8702378,1078.1201,1.0147014,0.5821406,0.43256074,-741.00867,-583.04767,52.024338
8013174454444875809,4111834567779557376,5804.8096,0.9673947,1.7383528,-0.5067246,0.7896202,-3.7890162,1051.9569,1.0023156,0.5756803,0.42663532,-737.1755,-590.1367,50.454906
8013174454444875809,4111834567779557376,5899.3145,1.0463736,1.7388152,-0.58094513,0.8571086,-3.878509,1051.357,1.0871413,0.622794,0.4643473,-739.1216,-576.4574,50.294025
8013174454444875809,4111834567779557376,5896.97,1.041063,1.745576,-0.5562354,0.8525985,-3.8649404,1044.85,1.0813456,0.6196657,0.46167988,-738.95233,-576.97064,49.898415
8013174454444875809,4111834567779557376,5870.194,1.0312823,1.7305595,-0.5885329,0.84383243,-3.8825788,1055.5255,1.0707698,0.61370385,0.45706594,-738.2288,-576.9244,50.711117
8013174454444875809,4111834567779557376,5903.108,1.0558004,1.7479566,-0.55547583,0.86450464,-3.8593454,1039.4606,1.0965838,0.62838775,0.4681961,-740.4533,-577.1709,49.769314
8013174454444875809,4111834567779557376,5898.6343,1.0363892,1.7320682,-0.5982403,0.849364,-3.8891582,1061.5743,1.077146,0.61689836,0.4602477,-741.2534,-579.1975,50.67278
8013174454444875809,4111834567779557376,5887.8223,1.0405545,1.7366962,-0.57446367,0.8518951,-3.8722982,1052.3953,1.0807025,0.619292,0.46141052,-740.1561,-577.9437,50.41747
8013174454444875809,4111834567779557376,5891.7314,1.043066,1.7456634,-0.55450237,0.85389364,-3.856596,1042.731,1.0831681,0.6208106,0.46235752,-739.0451,-576.83295,49.899155
8013174454444875809,4111834567779557376,5728.7295,0.93649155,1.6878552,-0.6243109,0.76281524,-3.8693862,1089.4448,0.9696623,0.55690926,0.41275305,-741.7927,-587.6629,53.215042
8013174454444875809,4111834567779557376,5874.801,1.0277033,1.7323036,-0.5811484,0.841189,-3.887417,1055.9376,1.0672075,0.61163235,0.4555751,-738.56964,-577.6625,50.59888
8013174454444875809,4111834567779557376,5855.1025,1.0216423,1.7291421,-0.5806495,0.83543473,-3.8747363,1056.7413,1.0603006,0.6079314,0.4523692,-739.16724,-578.6741,50.84224
8013174454444875809,4111834567779557376,5847.836,1.0067457,1.7268475,-0.58273965,0.8233945,-3.8727624,1061.8938,1.0448996,0.59911305,0.44578654,-738.5105,-579.22943,50.98325
8013174454444875809,4111834567779557376,5852.509,1.0101423,1.7246404,-0.5916229,0.82636935,-3.873868,1064.6062,1.0486336,0.60113806,0.44749552,-738.9121,-579.1629,51.107277
8013174454444875809,4111834567779557376,5872.302,1.0245693,1.7297013,-0.58052933,0.8385991,-3.8732815,1060.9231,1.063916,0.6097703,0.45414567,-741.04,-580.0156,50.83119
8013174454444875809,4111834567779557376,5891.388,1.0338272,1.7408384,-0.56411284,0.8466925,-3.8719335,1050.7303,1.0738585,0.6153614,0.4584971,-739.85803,-578.4061,50.16795
8013174454444875809,4111834567779557376,5913.627,1.0672181,1.7400229,-0.5894864,0.8743305,-3.8857174,1046.975,1.1090261,0.6351628,0.4738633,-741.8908,-577.43494,50.214348
