ra,dec,magnitude,parallax
254.80790910364715,-22.660215204444796,16.747246,0.17636120437313096
254.81365922927955,-22.6534754234417,17.451895,0.22894012335133798
254.82249172860833,-22.65913754420985,19.859667,0.2616351409912265
254.83905112124685,-22.655566606504728,18.005226,0.38732524953037906
254.83723244696603,-22.666540947571995,19.301647,-0.22674745392091444
254.83400987315196,-22.663342370123633,19.456316,0.3336738497577213
254.8437552138125,-22.661807394645137,19.456102,-0.31945747764464
254.83942747773662,-22.65783820327169,19.428913,0.011150845962792845
254.8462946404769,-22.657950907817455,19.799295,0.13247514388629353
254.83599514380344,-22.665210376612915,18.906876,0.031057809129434323
254.8448267835653,-22.66397968565567,19.336466,1.5520807070988445
254.3065363229509,-22.078112620066133,19.663069,0.48025298095976776
254.30859937173318,-22.069145786893706,18.973553,
262.3937322792797,-59.97284422121113,19.139376,-0.4601673054651357
262.4092007360953,-59.972215291638044,14.584971,0.5157596690481888
262.5064231397217,-59.99536444116036,18.016201,0.49886986520641563
262.4926031158792,-59.996838887779646,18.927366,0.487699675249849
262.4818594607096,-59.98908615805444,16.896824,0.5275969456758802
227.8720419342592,-49.90070214208396,16.959808,0.12751035676719896
227.8687915914388,-49.89900626801141,15.989593,0.16399898972733612
227.86943683041582,-49.89734865355161,18.35387,0.2219496612722346
227.87345967671175,-49.89362225285724,16.400661,0.6313244047871891
227.86699648274748,-49.88749926653683,18.456703,0.23218490933414052
227.85982998776043,-49.90024272649961,17.97219,0.40767628406669143
227.85727353811285,-49.89790101829431,18.758968,0.4654877629051338
227.82959181846937,-49.900136746901424,18.22486,0.031053115464099168
227.8441517571977,-49.898973403775926,19.111853,0.9550193260332707
227.84181444461538,-49.890167091637345,18.429947,0.12151114365285168
227.82785456092338,-49.899060323215906,19.127838,-0.4266646388219804
228.44230084272527,-48.982727017811975,19.754,0.25073730469871847
228.42895188951385,-48.986043274429385,18.024672,0.2397465495816254
228.4375252436441,-48.98361264086877,19.679941,0.7961112345182654
228.43711073416756,-48.98227851371408,19.129044,0.8466711591380758
228.42670418758476,-48.98321925388257,19.61227,0.6644962978507509
228.4324639691515,-48.980010044824915,19.392784,0.019297717929716643
230.20218419068215,-48.59553351463904,15.119526,0.8412156129575102
230.19770131135033,-48.596196906652956,17.207684,0.2374422761767991
230.1933212987085,-48.59631343732071,18.817928,0.4918032387095374
230.19341748029993,-48.59558627339515,17.568851,1.6556429876620768
254.84351609398095,-22.65866482136904,19.898485,-0.30417123856758355
254.83628981614723,-22.655207322036386,19.896816,0.35827112136074035
254.84670567066354,-22.65587033091217,19.146835,0.0896126881427324
254.8559684783673,-22.651789232222015,19.354916,0.1584026041629954
227.842729911002,-49.90213911739714,19.833792,0.1860550289525586
227.83714326765238,-49.90300210188121,18.612331,0.5132098446017793
227.83481028226515,-49.90307774127608,19.625658,-0.43534511170531665
227.83978967954883,-49.90174862109132,18.903301,0.35079423159665996
227.83944850502914,-49.90112713278022,19.950005,
227.83434272898793,-49.90010515273813,19.638355,0.7280961125747151
227.8458185754547,-49.89588616152796,19.158909,0.27175355904504384
227.8294290181964,-49.8987290620267,19.49176,-0.6888789438279868
227.83133879628036,-49.89670767236028,19.619102,-0.1990301964046509
227.84488924661645,-49.89287346501207,19.368048,0.4131885446961935
227.84262582846074,-49.890548646291265,19.799389,-0.760616237811745
227.8312594552682,-49.89280204876209,19.942139,0.9041647073265867
230.1216523885959,-48.71448177159929,19.610435,0.8230129933355095
230.10914260751127,-48.71706621131962,19.55612,-0.1653003356062668
230.10514662598192,-48.717344722711076,19.523449,0.20022709266177252
230.11677742504273,-48.71387314899405,19.616081,-0.33713630812563344
230.1105109072362,-48.713849462684934,19.82267,0.9561256283377094
230.10786052769518,-48.70971924440767,19.923683,0.768545053000028
230.1090634131925,-48.7082110895267,19.807089,-0.43530197894556666
230.10999934164877,-48.70727328763829,18.362228,0.41441084888583124
230.11457355034534,-48.72544669170411,19.960173,-0.7762460842256893
