designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 2013054435812435584,2013054435812435584,358.525249768774,62.7544179797137,0.1457065247752714,-2.685337447390196,0.6103223835353334,1.0400639,20.307257,1.628233,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054435812452992,2013054435812452992,358.5273731097949,62.75722608394663,0.16104541551771853,-3.3380387666714673,-0.7522111391427437,1.0194321,19.830158,1.8822594,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054435812454528,2013054435812454528,358.5411854528472,62.75512333586495,0.31672023692432344,-2.2289498934510763,-0.3651607299167705,0.98878247,18.20838,1.5496063,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,5133.7383,4.796,-3.4238,1182.681,1.4079,1.0919,0.6062
Gaia DR3 2013054435812502656,2013054435812502656,358.5498288122846,62.76396393235862,0.31747109895310865,-0.25346708570714915,-2.1697559754163502,1.0101851,18.705116,1.9123821,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4270.032,4.8935,-1.4337,767.233,1.3733,0.9964,0.5412
Gaia DR3 2013054435815249280,2013054435815249280,358.5468089409856,62.75823120416442,0.25283973171824214,0.8804577854236562,-4.350601589217652,1.003923,18.613026,1.6725979,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4763.219,4.8901,-1.9745,991.1617,1.4261,1.0791,0.5918
Gaia DR3 2013054435815372928,2013054435815372928,358.5434628094247,62.76444973312843,0.3783650080011103,-2.4491390629304153,-0.46808159011410777,0.9835919,20.385687,1.5605259,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054440114814080,2013054440114814080,358.5466395698708,62.76355823840196,0.5036793610765937,-6.715974849714193,-2.154222603175119,1.0576999,19.604454,2.0567207,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054440114816000,2013054440114816000,358.5461801283202,62.76148843494397,0.15236804498522472,-2.4197502696683526,0.41199388753022187,1.0539391,19.183012,1.7131863,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054440114816384,2013054440114816384,358.53831910971564,62.75962258512844,-0.19768189776987433,-2.586307633054063,-1.3690934019490997,0.9966613,19.455816,1.79426,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2249336156020593664,2249336156020593664,295.84166821446695,68.21255566294396,0.025289061575909016,0.9265636219674942,6.015725442028091,1.1490315,20.399715,2.1121216,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
