source_id,x,y,z,phot_g_mean_mag,bp_rp
1945641251906113024,1763.1917508161125,-1185.3793812067765,1264.240444314263,16.940975,1.58393
1945641281967419008,-1650.6757189817713,1110.9100734038927,-1184.0454254651072,18.817417,1.085886
1945641316327159936,2046.1878227771945,-1376.468271119858,1468.2133804814248,19.990093,1.5290813
1945641320625592960,510.10814667369755,-343.06754080618873,366.06270125279315,17.017878,1.6646023
1945641350686890880,647.0565621358093,-434.48772624308236,463.5022015974757,19.097094,2.2519608
5890460617544959104,-329.8173797621154,-406.08222116674744,-618.6726592395618,19.726933,1.7554321
5890460617545209344,-471.88510921137413,-581.0898782376322,-885.4932123183751,19.603968,2.320097
5890601183234806400,-1283.5294698811058,-1619.5082035284133,-2381.6998858322436,19.337488,1.8624325
5890601183234810880,701.7768332804641,885.6503055298541,1302.2981241715738,19.93624,1.7816067
5890601183234818560,-7403.473389286678,-9340.2329572936,-13734.341102520131,16.501158,1.9147921
5890601183234821248,-17029.410789035406,-21493.305551883986,-31600.454280634694,19.709263,1.961523
5890601183234823296,2047.5895370912403,2583.257268291511,3798.3952790520248,18.482075,1.7118855
5890601183234823808,5996.365840426374,7566.128004985055,11124.523980758,19.44853,1.5303001
5890601183234824192,-1559.8556112557017,-1967.5709469107583,-2893.1978206635176,19.451225,2.081236
5890601183234825600,-373.17350128841304,-470.8021035843387,-692.222945405195,19.112541,2.2827034
5890601183234827136,-456.89293524561504,-576.4962919192968,-847.5760549569419,19.785793,2.1433735
1945641350686892416,-1369.2516620648153,919.3425322072583,-980.9964035245584,19.522938,2.135088
1945641350686893312,4339.790058246371,-2913.249498820234,3109.4247266505045,18.387785,1.0488262
1945641350686893440,1817.0749275724172,-1219.9287496095324,1301.9621159163548,18.963598,0.8788986
1945641350686893824,1926.127639172385,-1293.63139152336,1380.3166967357597,18.273643,1.2094994
1945641350686894336,1424.047554981067,-956.2126633614772,1020.5177938532231,16.482237,1.079318
1945641350686894848,1046.3052871614645,-702.5121841689776,749.8566121763171,18.942047,2.7179909
1945641354983629184,-3285.3169461537523,2206.3134037309314,-2353.9068956411425,19.371126,1.0149231
1945641354983629696,822.5985320677687,-552.3141077293606,589.363710710653,19.8348,1.1067677
1945641354985303808,1042.7879729602644,-700.3353632261772,747.1124346251169,13.766003,0.6395893
1945641385046634880,1865.9244923595159,-1252.4598540899021,1337.3317228042222,16.058397,0.87972736
1945641385047297792,-11856.806092436365,7958.882058166461,-8499.517907492082,19.912338,1.993948
5890529165256823936,-1653.4687732198956,-1986.7183871540944,-3030.5648714856143,17.360573,1.8258915
5890529165256824704,3488.553551290869,4191.922102005575,6394.1046681205435,18.298061,2.0117073
5890529165256826240,-698.9658336590466,-839.8318187193809,-1280.8342087717888,17.785006,1.91815
5890529165256827008,-2105.28653703252,-2530.0183386361846,-3858.0391302571834,15.25141,2.1064625
5890529165256827648,-561.5503153841175,-674.6063889651448,-1028.8058911927724,14.153808,1.619628
5890529165256828032,3791.296174792786,4554.075169561738,6945.26681293507,19.91419,1.6180553
5890529165256828160,-758.8229365368893,-911.673951197852,-1390.2703799071703,18.798101,1.752121
5890529165256831232,-1216.62574700768,-1461.7955648636537,-2228.8682081504485,16.700012,1.4491224
1945641389344818432,2113.8384131717794,-1418.656648014091,1515.193672513356,16.081968,1.0723495
1945641389345723008,7604.750748866686,-5103.768528902884,5449.643860170989,19.521112,1.9955368
1945641419406374400,8659.110820483163,-5817.702826393951,6209.870891284314,18.37206,1.4739361
1945641423704805504,568.8827866062725,-382.1768211299926,407.72771211111524,13.419252,0.99096775
1945641423704806400,1644.3993286489358,-1105.0441308219138,1178.9243768440424,16.772337,1.0425968
1945641423704807424,1001.3813305660444,-672.7606058673048,718.0113405822526,16.780123,1.2386751
1945641453766114048,6599.506366931435,-4432.785206473618,4733.377978930286,19.068096,1.2176609
1945641488125852544,-1676.6943555175844,1124.8181046733027,-1202.119587016992,19.314907,1.2338905
1945641488125853056,1683.707690826994,-1129.7117610841954,1207.299415931539,18.05124,1.0663509
1945641488125853952,1897.994309779142,-1273.451626082936,1361.2846421424442,18.379686,1.2475052
5890601183234832384,43722.881015188366,55185.80222955896,81119.50344080574,19.544582,1.5731792
5890601183234834432,-320.1809904504783,-403.9833313133942,-593.869716242505,19.542505,2.1750946
5890601183234835712,-6600.0649365863255,-8330.042331885976,-12244.05806597609,19.611582,1.6321087
5890601183234837504,-3327.4311770476484,-4198.2271705887715,-6171.319561782387,19.578648,1.7334023
5890601183234838272,2042.5045069112862,2576.7919204661794,3787.88800065108,19.87046,1.7654724
5890460617576416640,-1653.6041125377608,-2036.4940120096494,-3104.0315060131834,18.295103,1.6347904
5890460617576421120,1878.8731370523578,2313.8484364808182,3526.310131815712,19.915596,1.0690517
5890460617576421888,-1216.3051661771938,-1498.5330567838942,-2282.9851865145683,17.035084,1.7590733
5890460617576424320,3309.1808605142924,4075.6283086672943,6210.163754554505,18.492477,1.5284595
5890460617576425600,-1305.5597308773556,-1608.216384862794,-2450.059646726462,16.360472,1.2497902
5890460617576428800,-1327.923402526239,-1634.9334627465948,-2491.352623311697,18.479885,1.5751534
5890460617576432512,-1190.8090946366206,-1466.5570048763188,-2234.04770855916,17.377495,1.4672222
5890460617576435584,-7656.897377967097,-9429.84365781218,-14363.28803853372,19.718758,1.9197636
5890529195285228160,-2566.7822659104436,-3084.158977140388,-4701.650781024896,16.149115,2.0886106
5890529195285439104,-854.0091180798827,-1026.3552115025261,-1564.5846178143843,18.608582,1.5983047
5890529195285958400,-1069.1320331423044,-1284.7690814533346,-1958.742864965806,18.61972,1.8874187
5890529195285959040,10208.743968638248,12269.576178721403,18698.652522202294,19.06991,1.9339066
5890529195286022400,-7056.134266818892,-8478.106082351445,-12923.259014050685,18.622896,1.8988895
5890529195300306560,-1719.8914851359648,-2066.9596225191635,-3150.2409897600655,19.067406,1.7578468
5890529195300645888,-9504.311152127764,-11424.997424164494,-17409.95380516945,18.97701,1.6003494
5890529199599891712,561.3637747653767,674.6274858530221,1028.5991186937738,19.938961,1.7758312
1945642621997232512,3397.383245162866,-2282.4366852541375,2441.7408595160173,17.301157,0.92212486
1945641522485592832,-285404.3805574935,191346.9333609138,-204666.71670153007,19.693977,1.5545197
1945641591205073024,2704.192753423689,-1814.4452321243593,1940.761350365732,18.37638,1.180563
1945641591205074432,1770.5452709435704,-1187.9690317594007,1270.966303755952,19.732054,1.0622292
1945641625564805760,2172.3407338960187,-1460.1868379031487,1558.3318130827138,17.410181,0.82073975
1945641625565467392,4955.99772836425,-3330.156192590111,3554.7435947369586,19.841948,1.8583717
1945641659924546048,636.5625615664954,-427.58158264501793,456.7440334869548,19.995296,1.4179897
1945641659924546560,807.5921483381628,-542.6217308005997,579.5793059017326,17.550465,1.7115097
1945641664220669952,1016.325643297877,-682.9842487499976,729.3737938355451,19.746878,2.201479
1945641664222735104,-2457.1954840812186,1650.6454440410432,-1763.1038046958624,18.78266,1.5000648
1945641694284285440,1154.5596463672834,-776.2735235017951,828.872714117468,18.385202,1.5974312
5890601183267627648,-5264.768303112793,-6641.49551625344,-9765.371356160713,18.672674,1.661314
5890601183267629184,-3477.8651989383525,-4388.655691959165,-6451.430986254548,13.326164,2.479988
5890601183273765888,-2183.226429698769,-2755.082774455275,-4050.351460359771,19.293978,1.7287216
5890601213296518144,-1678.1097514307392,-2118.3967900187768,-3111.562515314972,17.407087,1.8454456
5890601213298785920,-2274.546322059631,-2870.8508434053756,-4219.265756485903,19.43261,1.4876347
5890601213300704512,-2828.128635325197,-3570.273114130777,-5246.789513081399,18.776371,1.5925236
5890601217594573440,571.1630520485932,721.0599741933167,1059.7948571896286,19.549585,1.605341
5890601217594580608,-692.7816949914738,-874.5002823805588,-1285.2111072321504,19.764915,2.0986252
5890601217594582528,-1299.3990613253482,-1640.2616742719824,-2410.5254740351106,19.79028,1.8084145
5890460647611864064,-1256.2191211525228,-1544.716815923356,-2357.077432919406,18.138874,1.8849545
5890460651904602752,-430.7780033218684,-529.5962311373321,-808.4757434689428,19.966822,1.931818
5890460651904605440,-4401.410720256289,-5411.317278415895,-8260.330429631638,19.480543,1.8247452
5890460651904649728,-1850.714335186211,-2274.686692623394,-3471.4645917073594,19.09825,1.685049
5890460651904655488,-8167.997733156024,-10041.527202509607,-15321.118237786042,19.342773,1.8854218
